"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","237.36364020705798","55.680921349858956","4.7219091968976885","-0.31197865973435573","0.031982421875","0.01904296875","0.044921875","1300","0.00018804695804234065","0.0","0.00018804695804234065","0.00018804695804234065","","","true"
"1","336.39913815951826","255.6398732016355","4.815130160168925","-0.3097440319777085","0.02978515625","0.0166015625","0.04296875","1300","0.0003834363833383786","0.0","0.0003834363833383786","0.0003834363833383786","1_0:0.00660001687826145","1_0:660","true"
"2","257.7842008566155","264.42243856936847","4.609664937645772","-0.3090875180776862","0.006103515625","0.0068359375","0.00537109375","1300","0.000419289545077163","0.0","0.000419289545077163","0.000419289545077163","2_1:0.007093998786946498","2_1:660","true"
"3","346.35266615864396","408.0201539822292","4.8755442599106145","-0.30968652168552707","0.02783203125","0.0126953125","0.04296875","1300","0.00014826574885901895","0.0","0.00014826574885901895","0.00014826574885901895","3_2:0.013888002434591262","3_2:660","true"
"4","226.28490752797998","320.0456912170114","4.8181985804793035","-0.3103713081153928","0.01806640625","0.0146484375","0.021484375","1300","0.00019440528087915124","0.0","0.00019440528087915124","0.00019440528087915124","4_3:0.003411418216203721;4_5:0.002973485329597958;4_15:0.01076208494917702","4_3:660;4_5:660;4_15:660","true"
"5","356.05111855183765","293.96418687375393","4.734142827816344","-0.3114518235315779","0.005859375","0.00390625","0.0078125","1300","0.00013163867050608897","0.0","0.00013163867050608897","0.00013163867050608897","","","true"
"6","173.2151883743834","82.53417027527227","4.876261838495472","-0.30918835047116894","0.010009765625","0.00830078125","0.01171875","1300","0.000188113964029671","0.0","0.000188113964029671","0.000188113964029671","6_5:0.005981105699639777;6_7:0.007883533744225957","6_5:660;6_7:660","true"
"7","363.65983723078574","347.7681646105304","4.967500211780717","-0.30745739300983294","0.01123046875","0.0087890625","0.013671875","1300","0.0003457645491457836","0.0","0.0003457645491457836","0.0003457645491457836","7_8:0.006443935821086211","7_8:660","true"
"8","311.0134065202324","263.51737159348664","4.902448939112718","-0.30837827664687645","0.01171875","0.00634765625","0.01708984375","1300","0.00032117130196216944","0.0","0.00032117130196216944","0.00032117130196216944","8_9:0.010296242989408733","8_9:660","true"
"9","344.6802498334014","69.58101068823802","4.987233329205424","-0.3080310587566364","0.01904296875","0.00634765625","0.03173828125","1300","0.0003429362528298667","0.0","0.0003429362528298667","0.0003429362528298667","","","true"
"10","118.15907887962902","147.17376984695449","4.831528628398137","-0.3097434424405673","0.013916015625","0.01025390625","0.017578125","1300","0.0002949792858056203","0.0","0.0002949792858056203","0.0002949792858056203","10_9:0.011047198239860945;10_11:0.014721290103778983","10_9:660;10_11:660","true"
"11","226.77783796671147","184.68028598550865","4.972392185033214","-0.307214316560019","0.044677734375","0.0283203125","0.06103515625","1300","0.0006351254630367663","0.0","0.0006351254630367663","0.0006351254630367663","11_12:0.01388740984268888","11_12:660","true"
"12","284.9675827208066","114.70922928162778","4.936314368811501","-0.3079608272575031","0.01220703125","0.01025390625","0.01416015625","1300","0.0006467608135728522","0.0","0.0006467608135728522","0.0006467608135728522","12_17:0.03155497566987342","12_17:660","true"
"13","304.45914956204456","98.04692478691447","5.0058044503547565","-0.3067650398842775","0.0234375","0.0126953125","0.0341796875","1300","0.00023794615083585157","0.0","0.00023794615083585157","0.00023794615083585157","13_12:0.011232999471252447","13_12:660","true"
"14","320.6544307437772","109.5437314254356","4.903343197569282","-0.308419961199297","0.02197265625","0.013671875","0.0302734375","1300","0.0002371064345983558","0.0","0.0002371064345983558","0.0002371064345983558","14_0:0.00752362943813184;14_18:0.007749414284537626","14_0:660;14_18:660","true"
"15","159.22419600770866","34.963760818154185","4.947913112935991","-0.308052427832017","0.015625","0.0166015625","0.0146484375","1300","0.00044393972406775526","0.0","0.00044393972406775526","0.00044393972406775526","15_22:0.023056718439580293","15_22:660","true"
"16","227.49712535660703","14.299461081431712","4.960330046959094","-0.3076594514774509","0.01708984375","0.0146484375","0.01953125","1300","0.0003205335989053562","0.0","0.0003205335989053562","0.0003205335989053562","16_8:0.007424163738709244;16_26:0.007099078487820987","16_8:660;16_26:660","true"
"17","188.54055073265565","94.72904465096335","4.820812073415532","-0.30970435909943395","0.00927734375","0.0107421875","0.0078125","1300","0.0005267963270528295","0.0","0.0005267963270528295","0.0005267963270528295","17_30:0.013992748698181734","17_30:660","true"
"18","264.4386837837301","116.89730565458056","4.78813167171035","-0.31063598977187784","0.008544921875","0.0078125","0.00927734375","1300","0.0001264593912230147","0.0","0.0001264593912230147","0.0001264593912230147","18_19:0.0037356277837164997","18_19:660","true"
"19","299.007238752567","113.2945650316925","4.747120903798298","-0.31072395279331844","0.008056640625","0.00830078125","0.0078125","1300","0.00013399182956866148","0.0","0.00013399182956866148","0.00013399182956866148","","","true"
"20","395.6794252149557","153.56405357404074","4.862349268657672","-0.3090978906556921","0.021240234375","0.00830078125","0.0341796875","1300","0.00020671805227882542","0.0","0.00020671805227882542","0.00020671805227882542","20_19:0.003616480258272936;20_33:0.03611592732167368","20_19:660;20_33:660","true"
"21","210.03191755579869","86.98104238250502","4.966489497744935","-0.30694839478531033","0.00830078125","0.0107421875","0.005859375","1300","0.0003804847453483594","0.0","0.0003804847453483594","0.0003804847453483594","21_20:0.005196533006671444;21_22:0.015372078767479036","21_20:660;21_22:660","true"
"22","223.06185121271253","70.95803057412348","5.038189175288518","-0.3065535436677073","0.01416015625","0.0185546875","0.009765625","1300","0.0006311505467262819","0.0","0.0006311505467262819","0.0006311505467262819","22_23:0.018197258814828865","22_23:660","true"
"23","331.4355874216181","123.6965223630385","4.8449643176810175","-0.309395699354676","0.01123046875","0.00927734375","0.01318359375","1300","0.00015338528082255425","0.0","0.00015338528082255425","0.00015338528082255425","","","true"
"24","230.84873319825118","119.6171321492539","5.10079104965871","-0.3054983979252499","0.129150390625","0.01513671875","0.2431640625","1300","0.0008943728275812761","0.0","0.0008943728275812761","0.0008943728275812761","24_23:0.10992735196043663;24_34:1.0","24_23:660;24_34:660","true"
"25","215.43562208361718","164.910586440346","4.945223574341736","-0.3084275156167526","0.01513671875","0.00732421875","0.02294921875","1300","0.00019770851837926678","0.0","0.00019770851837926678","0.00019770851837926678","25_24:1.0","25_24:660","true"
"26","279.7053627637402","172.74298179624049","4.854132318581315","-0.30976922795032275","0.035400390625","0.00732421875","0.0634765625","1300","0.0002329120467681918","0.0","0.0002329120467681918","0.0002329120467681918","26_25:0.01589261949428289","26_25:660","true"
"27","326.91858935625186","199.28002094975707","4.747636671376053","-0.31027519414312993","0.03955078125","0.02001953125","0.05908203125","1300","0.00018289976897028503","0.0","0.00018289976897028503","0.00018289976897028503","27_26:0.006467330442832653","27_26:660","true"
"28","242.9177400448988","88.44574774346208","4.994363691414231","-0.3073714140177614","0.0458984375","0.0146484375","0.0771484375","1300","0.0005437553658291464","0.0","0.0005437553658291464","0.0005437553658291464","28_27:0.01247333253473637;28_29:0.012755010361219787;28_35:0.011083149973389161","28_27:660;28_29:660;28_35:660","true"
"29","410.3649644919379","265.1705090201494","4.628652303456237","-0.3122408870668324","0.028564453125","0.01416015625","0.04296875","1300","0.00016108921511597633","0.0","0.00016108921511597633","0.00016108921511597633","","","true"
"30","260.56248600897186","64.9754391898134","4.732968942996058","-0.31090012417705765","0.009033203125","0.01416015625","0.00390625","1300","0.0004888197397019379","0.0","0.0004888197397019379","0.0004888197397019379","30_29:0.013715071847938853;30_31:0.007545199653979651","30_29:660;30_31:660","true"
"31","294.1112260594058","54.48169972757685","4.797672826475945","-0.31025628620305007","0.010009765625","0.0078125","0.01220703125","1300","0.00025690397152267546","0.0","0.00025690397152267546","0.00025690397152267546","31_32:0.006396050651251539","31_32:660","true"
"32","171.43563332341944","260.9113785549807","4.910375432555037","-0.3078794303810588","0.015869140625","0.0166015625","0.01513671875","1300","0.00034386801358877317","0.0","0.00034386801358877317","0.00034386801358877317","32_36:0.005894713615778535","32_36:660","true"
"33","239.19465190200395","160.2640254663235","4.973184641754689","-0.3075486854907048","0.01416015625","0.01953125","0.0087890625","1300","0.00022412230069109628","0.0","0.00022412230069109628","0.00022412230069109628","33_39:0.007712205991317389","33_39:660","true"
"34","181.4107802937022","106.51965473881228","4.678649364713637","-0.3124338462946453","0.0234375","0.0263671875","0.0205078125","1300","0.00018212669815749645","0.0","0.00018212669815749645","0.00018212669815749645","34_43:0.0063008437516128835","34_43:660","true"
