"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","322.0408344717713","174.2366006880226","4.655632493371575","-0.3110632460863657","0.0078125","0.0068359375","0.0087890625","1244.4444444444443","0.00024628156915416807","0.0","0.00024628156915416807","0.00024628156915416807","0_1:0.008019301261510736;0_14:0.016741334091236515","0_1:561;0_14:561","true"
"1","486.88048234440794","246.8928463835248","4.534960817552915","-0.31302980539784336","0.01171875","0.0078125","0.015625","1244.4444444444443","0.00025800631073034084","0.0","0.00025800631073034084","0.00025800631073034084","1_2:0.0074276700176008625","1_2:561","true"
"2","254.9796561273198","136.06486368776257","4.680115200565868","-0.3092563684570482","0.010986328125","0.01220703125","0.009765625","1244.4444444444443","0.0001388883161076381","0.0","0.0001388883161076381","0.0001388883161076381","2_3:0.0037776716932765297","2_3:583","true"
"3","389.85975374410697","153.10909791860936","4.606653322686387","-0.25135835423971303","0.004150390625","0.00390625","0.00439453125","1244.4444444444443","0.00013157412506504206","0.0","0.00013157412506504206","0.00013157412506504206","","","true"
"4","593.8604217947434","87.2352567424569","4.462274127555763","-0.25507850560311957","0.072998046875","0.0693359375","0.07666015625","1244.4444444444443","0.0005785499017988612","0.0","0.0005785499017988612","0.0005785499017988612","4_3:0.007621085322507715;4_15:0.010061693911905756","4_3:561;4_15:583","true"
"5","269.4616840101949","270.78830290322327","4.426686268766896","-0.2804432142711162","0.017822265625","0.0166015625","0.01904296875","1244.4444444444443","0.00014712283440322798","0.0","0.00014712283440322798","0.00014712283440322798","5_4:0.008907939207895899","5_4:561","true"
"6","272.91348960147195","114.31266267576711","4.640086700427606","-0.3108103399516748","0.0205078125","0.02197265625","0.01904296875","1244.4444444444443","0.0005524889172936539","0.0","0.0005524889172936539","0.0005524889172936539","6_5:0.010183466815234576","6_5:583","true"
"7","250.71492828919196","391.6503124009973","4.47570669976537","-0.2813271220492828","0.01416015625","0.02392578125","0.00439453125","1244.4444444444443","0.0007408353492705658","0.0","0.0007408353492705658","0.0007408353492705658","7_6:0.02053353177556061;7_8:0.11467667153563527","7_6:561;7_8:561","true"
"8","423.20033408167046","252.5609625116327","4.401862681157721","-0.25507427876459826","0.16552734375","0.26318359375","0.06787109375","1244.4444444444443","0.021766568248319643","0.0","0.021766568248319643","0.021766568248319643","8_9:1.0","8_9:561","true"
"9","426.678375500624","355.3612049991849","4.51901206714983","-0.29730654926594685","0.021484375","0.0205078125","0.0224609375","1244.4444444444443","0.00021471972916615046","0.0","0.00021471972916615046","0.00021471972916615046","","","true"
