"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","322.0408344717713","280.1201633064339","4.655636304533015","-0.3110632460863657","0.0048828125","0.0078125","0.001953125","1244.4444444444443","0.00024628156915416807","0.0","0.00024628156915416807","0.00024628156915416807","0_1:0.008019301261510736;0_14:0.016741334091236515","0_1:561;0_14:561","true"
"1","477.6810334611385","222.53580568081273","4.534965623834569","-0.31302980539784336","0.010986328125","0.00830078125","0.013671875","1244.4444444444443","0.00025800631073034084","0.0","0.00025800631073034084","0.00025800631073034084","1_2:0.0074276700176008625","1_2:561","true"
"2","236.86797678907027","112.07796110227544","4.680110165173528","-0.3092563684570482","0.01220703125","0.0146484375","0.009765625","1244.4444444444443","0.0001388883161076381","0.0","0.0001388883161076381","0.0001388883161076381","2_3:0.0037776716932765297","2_3:583","true"
"3","363.04971501167563","153.10909791860936","4.606648251925273","-0.25135835423971303","0.006103515625","0.005859375","0.00634765625","1244.4444444444443","0.00013157412506504206","0.0","0.00013157412506504206","0.00013157412506504206","","","true"
"4","593.8604217947434","87.2352567424569","4.46231167544008","-0.25507850560311957","0.078857421875","0.0693359375","0.08837890625","1244.4444444444443","0.0005785499017988612","0.0","0.0005785499017988612","0.0005785499017988612","4_3:0.007621085322507715;4_15:0.010061693911905756","4_3:561;4_15:583","true"
"5","314.09713188996835","277.87035620805756","4.42669060997824","-0.2804432142711162","0.044677734375","0.041015625","0.04833984375","1244.4444444444443","0.00014712283440322798","0.0","0.00014712283440322798","0.00014712283440322798","5_4:0.008907939207895899","5_4:561","true"
"6","272.91348960147195","162.4648600095037","4.64009112265387","-0.3108103399516748","0.025146484375","0.02734375","0.02294921875","1244.4444444444443","0.0005524889172936539","0.0","0.0005524889172936539","0.0005524889172936539","6_5:0.010183466815234576","6_5:583","true"
"7","282.3746232911115","250.77057677814943","4.475716568607563","-0.2813271220492828","0.01171875","0.017578125","0.005859375","1244.4444444444443","0.0007408353492705658","0.0","0.0007408353492705658","0.0007408353492705658","7_6:0.02053353177556061;7_8:0.11467667153563527","7_6:561;7_8:561","true"
"8","423.20033408167046","264.3333369446554","4.401861362194931","-0.25507427876459826","0.152587890625","0.265625","0.03955078125","1244.4444444444443","0.021766568248319643","0.0","0.021766568248319643","0.021766568248319643","8_9:1.0","8_9:561","true"
"9","562.255886938084","296.34449387851174","4.519011907646674","-0.29730654926594685","0.0263671875","0.02490234375","0.02783203125","1244.4444444444443","0.00021471972916615046","0.0","0.00021471972916615046","0.00021471972916615046","","","true"
"10","296.3864977062799","87.61666780671455","4.628361713153008","","0.01708984375","0.01220703125","0.02197265625","1244.4444444444443","0.00020046734263090522","0.0","0.00020046734263090522","0.00020046734263090522","10_9:0.008814301299051308;10_11:0.008341175574114179","10_9:583;10_11:561","true"
"11","331.1776634032104","234.38484169042457","4.571512233571953","-0.31187801080194943","0.007568359375","0.0078125","0.00732421875","1244.4444444444443","0.0001569262262206274","0.0","0.0001569262262206274","0.0001569262262206274","11_12:0.00816966645075845","11_12:583","true"
"12","403.7785289117402","448.87116158934845","4.4643297756840745","-0.3114335997689411","0.043701171875","0.044921875","0.04248046875","1244.4444444444443","0.0003690382564516519","0.0","0.0003690382564516519","0.0003690382564516519","","","true"
"13","325.8182530908265","50.13983696336412","4.573352519022444","","0.024169921875","0.017578125","0.03076171875","1244.4444444444443","0.00029316741207714237","0.0","0.00029316741207714237","0.00029316741207714237","13_12:0.006356776120883978","13_12:561","true"
"14","344.2510442529349","327.9796081946442","4.603981429663513","-0.3075149117337717","0.00537109375","0.00830078125","0.00244140625","1244.4444444444443","0.0007816503291475928","0.0","0.0007816503291475928","0.0007816503291475928","14_18:0.00916010107077575","14_18:583","true"
