"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"0","237.36364020705798","61.69883030137593","4.721900993314522","-0.31197865973435573","0.031005859375","0.02294921875","0.0390625","1300","0.00018804695804234065","0.0","0.00018804695804234065","0.00018804695804234065","","","true"
"1","336.39913815951826","336.24216097491245","4.815136585640555","-0.3097440319777085","0.033203125","0.0244140625","0.0419921875","1300","0.0003834363833383786","0.0","0.0003834363833383786","0.0003834363833383786","1_0:0.00660001687826145","1_0:660","true"
"2","145.32893982504785","105.7275339954369","4.609652244377777","-0.3090875180776862","0.00927734375","0.0087890625","0.009765625","1300","0.000419289545077163","0.0","0.000419289545077163","0.000419289545077163","2_1:0.007093998786946498","2_1:660","true"
"3","328.58130446156446","401.6335047471614","4.875541331889611","-0.30968652168552707","0.03076171875","0.02099609375","0.04052734375","1300","0.00014826574885901895","0.0","0.00014826574885901895","0.00014826574885901895","3_2:0.013888002434591262","3_2:660","true"
"4","226.28490752797998","171.4920610428953","4.818193075548114","-0.3103713081153928","0.013916015625","0.01416015625","0.013671875","1300","0.00019440528087915124","0.0","0.00019440528087915124","0.00019440528087915124","4_3:0.003411418216203721;4_5:0.002973485329597958;4_15:0.01076208494917702","4_3:660;4_5:660;4_15:660","true"
"5","241.80981508529186","332.2090240393832","4.734145406860074","-0.3114518235315779","0.008544921875","0.00927734375","0.0078125","1300","0.00013163867050608897","0.0","0.00013163867050608897","0.00013163867050608897","","","true"
"6","314.96743872600047","86.6309131874956","4.876259931344237","-0.30918835047116894","0.008056640625","0.005859375","0.01025390625","1300","0.000188113964029671","0.0","0.000188113964029671","0.000188113964029671","6_5:0.005981105699639777;6_7:0.007883533744225957","6_5:660;6_7:660","true"
"7","280.0514314179677","259.4161410557391","4.967510330951145","-0.30745739300983294","0.01123046875","0.01416015625","0.00830078125","1300","0.0003457645491457836","0.0","0.0003457645491457836","0.0003457645491457836","7_8:0.006443935821086211","7_8:660","true"
"8","365.6820454448845","298.66022707790654","4.9023617472941785","-0.30837827664687645","0.018310546875","0.009765625","0.02685546875","1300","0.00032117130196216944","0.0","0.00032117130196216944","0.00032117130196216944","8_9:0.010296242989408733","8_9:660","true"
"9","420.47787163484253","192.72102150573346","4.987238918839792","-0.3080310587566364","0.020751953125","0.00439453125","0.037109375","1300","0.0003429362528298667","0.0","0.0003429362528298667","0.0003429362528298667","","","true"
